id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335992,JH Kallis,11,Rajasthan Royals,M Chinnaswamy Stadium,10,0,1,SK Trivedi,Right arm medium pace
335992,V Kohli,13,Rajasthan Royals,M Chinnaswamy Stadium,0,0,1,MM Patel,Right arm medium pace
335992,MV Boucher,4,Rajasthan Royals,M Chinnaswamy Stadium,0,0,1,SK Warne,Right arm leg spin
335992,P Kumar,34,Rajasthan Royals,M Chinnaswamy Stadium,0,20,1,SR Watson,Right arm medium pace
335992,SB Joshi,3,Rajasthan Royals,M Chinnaswamy Stadium,0,0,1,SK Warne,Right arm leg spin
335992,Z Khan,17,Rajasthan Royals,M Chinnaswamy Stadium,0,17,1,not out,Not Out
335992,R Vinay Kumar,1,Rajasthan Royals,M Chinnaswamy Stadium,0,1,1,not out,Not Out
335992,GC Smith,49,Royal Challengers Bangalore,M Chinnaswamy Stadium,20,8,2,SB Joshi,Left arm leg spin
335992,M Rawat,0,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,2,P Kumar,Right arm medium pace
335992,YK Pathan,21,Royal Challengers Bangalore,M Chinnaswamy Stadium,21,0,2,Z Khan,Left arm medium pace
335992,SR Watson,61,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,5,2,not out,Not Out
335992,M Kaif,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,4,2,not out,Not Out
335993,SC Ganguly,12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",9,0,1,Joginder Sharma,Right arm medium pace
335993,BB McCullum,24,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",24,0,1,JDP Oram,Right arm medium pace
335993,RT Ponting,0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,0,1,JDP Oram,Right arm medium pace
335993,WP Saha,27,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",27,0,1,MS Gony,Right arm medium pace
335993,DJ Hussey,0,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,0,1,P Amarnath,Right arm medium pace
335993,Mohammad Hafeez,16,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,0,1,P Amarnath,Right arm medium pace
335993,LR Shukla,42,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,27,1,Joginder Sharma,Right arm medium pace
335993,AB Agarkar,11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,5,1,MS Gony,Right arm medium pace
335993,M Kartik,3,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,3,1,JDP Oram,Right arm medium pace
335993,I Sharma,4,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",0,4,1,not out,Not Out
335993,PA Patel,21,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",16,0,2,AB Agarkar,Right arm medium pace
335993,ML Hayden,70,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",19,18,2,not out,Not Out
335993,MS Dhoni,43,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",0,8,2,not out,Not Out
335994,L Ronchi,13,Deccan Chargers,Dr DY Patil Sports Academy,13,0,1,RP Singh,Left arm medium pace
335994,ST Jayasuriya,18,Deccan Chargers,Dr DY Patil Sports Academy,4,0,1,Shahid Afridi,Right arm leg spin
335994,AM Rahane,0,Deccan Chargers,Dr DY Patil Sports Academy,0,0,1,SB Bangar,Right arm medium pace
335994,RV Uthappa,6,Deccan Chargers,Dr DY Patil Sports Academy,6,0,1,Shahid Afridi,Right arm leg spin
335994,SM Pollock,31,Deccan Chargers,Dr DY Patil Sports Academy,0,0,1,SB Bangar,Right arm medium pace
335994,AM Nayar,34,Deccan Chargers,Dr DY Patil Sports Academy,0,18,1,DNT Zoysa,Left arm medium pace
335994,DJ Bravo,34,Deccan Chargers,Dr DY Patil Sports Academy,0,25,1,RP Singh,Left arm medium pace
335994,MA Khote,7,Deccan Chargers,Dr DY Patil Sports Academy,0,7,1,not out,Not Out
335994,AC Gilchrist,109,Mumbai Indians,Dr DY Patil Sports Academy,47,0,2,not out,Not Out
335994,VVS Laxman,37,Mumbai Indians,Dr DY Patil Sports Academy,11,0,2,not out,Not Out
335995,G Gambhir,18,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",18,0,1,VRV Singh,Right arm medium pace
335995,V Sehwag,6,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",6,0,1,IK Pathan,Left arm medium pace
335995,S Dhawan,0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,1,B Lee,Right arm medium pace
335995,Shoaib Malik,19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",17,0,1,VRV Singh,Right arm medium pace
335995,MK Tiwary,39,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,12,1,VRV Singh,Right arm medium pace
335995,KD Karthik,24,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,1,Yuvraj Singh,Left arm leg spin
335995,R Bhatia,17,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,13,1,IK Pathan,Left arm medium pace
335995,MF Maharoof,18,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,18,1,IK Pathan,Left arm medium pace
335995,VY Mahesh,6,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,6,1,not out,Not Out
335995,K Goel,1,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",1,0,2,GD McGrath,Right arm medium pace
335995,SM Katich,75,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",35,0,2,R Bhatia,Right arm medium pace
335995,KC Sangakkara,4,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",4,0,2,Mohammad Asif,Right arm medium pace
